,Libro,Autor,Sinopsis
0,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Hilda Parisi Uranga,"La cocina al vapor constituye una alternativa sana y sencilla a otros métodos de cocción que presentan inconvenientes. Las frituras generan grasas perjudiciales; y al hervir los alimentos, éstos pierden gran parte de su potencial nutritivo. Para los que quieran disfrutar de toda la sustancia de los alimentos sin renunciar a su sabor, la cocción a vapor representan una excelente opción. Además de deliciosas y saludables recetas, este práctico manual de cocina expone cuáles son los utensilios y los tiempos de cocción idóneos para obtener el máximo rendimiento y sabor de cada producto. En sus páginas encontrarás: &bull; Instrucciones sencillas para la cocción a vapor. &bull; Utensilios recomendados. &bull; Tablas de tiempos de cocción. &bull; Más de 100 recetas para elaborar deliciosos entrantes, primeros, segundos, postres y conservas. &bull; Un práctico diccionario de alimentos para que conozcas todas sus propiedades"
1,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Hilda Parisi Uranga,"Rápido, sano, limpio, práctico. Qué más se puede pedir? Una cacerola con un poco de agua. Arriba una canastita de aluminio con aletas móviles para adaptarse al diámetro de cualquier olla. O una estética canasta china de bambú. O un colador de pastas. O una parrillita de tostador. También existen aparatos especiales, en dos pisos, el de arriba con fondo perforado para dar paso al vapor que genera el agua abajo. O un plato puesto arriba de una taza invertida dentro de un recipiente sobre el fuego. La cocina al vapor es simplísima, posible, fácil, limpia y nutritiva."
2,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Hilda Parisi Uranga,
3,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Niki Segnit,"Un compendio único de combinaciones de sabores.¿Alguna vez se ha preguntado por qué un sabor combina con otro? ¿O pensado qué se puede hacer con unos rabanitos?La enciclopedia de los  sabores es el primer libro que estudia que combina con que, en grupos  de a dos. La seccion final enumera en orden alfabetico 99 ingredientes  comunes y sugiere combinaciones clasicas y otras menos habituales para  cada uno. La inicial presenta una entrada para cada uno de los 99  sabores y esta organizada en 16 temas como moras y arbustos, verdes y hierbas o terroso.Hay 980 entradas en total y 200 recetas o sugerencias en el texto. Cubre  combinaciones tradicionales como cerdo y manzana, vainilla y cereza o  ajo y perejil; favoritos recientes como chocolate y chile, vainilla y  langosta o queso de cabra y rabanitos; y parejas interesantes pero  extrañas a primera vista, como morcilla y chocolate, limon y ternera, setas y arandanos o sandia y ostras.Magnificamente editado (ganador del premio al libro mejor editado en Reino Unido),La enciclopedia de los sabores no es solo un libro  de referencia apetecible y muy util que mejorara sus platos; es el tipo de libro que no podras dejar de leer por la noche.Reseñas:La cena nunca volvera a ser aburrida.PsychologiesEste libro extraordinario merece un lugar en todas las estanterias de una buena cocina.SpectatorUna guia exquisita para combinar sabores.The ObserverUna pequeña obra de arte.The Sunday Times"
4,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Niki Segnit,"Un plato siempre lleva a otro...Una maravillosa combinación entre recetario práctico y lectura por  placer, un libro sin precedentes en la historia de la ciencia y de la cocinaCocina lateral es el volumen complementario a La enciclopedia de  los sabores y pretende ser una obra de referencia para  todos aquellos que quieran aprender a cocinar de manera instintiva.Dividido en doce capitulos que responden a doce categorias culinarias,  este practico e inusual manual se basa en un conjunto de puntos de  partida que, una vez asimilados, permiten un numero casi infinito de  adaptaciones y versiones laterales dependiendo de lo que se tenga en  la nevera, de los productos de temporada, de lo que haya en el mercado o  de lo que simplemente nos apetezca preparar.  Para Niki Segnit, la magia  de la cocina consiste en que un plato conduce siempre a otro a traves de  caminos inesperados que uno debe estar dispuesto a explorar para aprender a cocinar con mayor libertad.Cocina lateralnos enseña  como.De la misma forma que en su primer libro deconstruye las experiencias  gastronomicas, aportandonos una luz esclarecedora y grandes dosis de  inspiracion, su segundo libro analiza los procesos culinarios y nos  mues..."
5,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Rosa Arda,"¿Cuántas veces has llegado a casa sin saber que cocinar o te has quedado sin ideas para hacer platos nuevos? Este libro es el manual perfecto para salir de la rutina y Comer rico a diario sin complicarse demasiado la vida. Una coleccion de recetas cocinadas con la ayuda de tu Thermomix en la que encontraras entrantes, platos principales y postres que te sorprenderan, a ti y a los tuyos. El libro perfecto que junto a la primera entrega de la autora, Mis recetas imprescindibles, seran dos indispensables que siempre estaran presentes en tu cocina."
6,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Rosa Arda,"Os presentamos el libro de Velocidad Cuchara®, el primer blog de recetas para Thermomix en español. Una colección de platos sencillos y ricos pensados para ti, seas principiante o un experto conocedo"
7,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Rosa Arda,"Os presentamosel libro de Velocidad Cuchara®, el primer blog de recetas para Thermomix en español. Una colección de platos sencillos y ricos pensados para ti, seas principiante o un experto conocedor"
8,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Maggie Schmitt,"La cocina palestina es un claro reflejo de su historia. Se ha visto influenciada por las culturas y civilizaciones que se asentaron en esta región, particularmente durante los períodos islámicos, que culminaron en la fuerte influencia de la cocina turca. Es similar a otras cocinas levantinas, incluidas las del Libano, Siria y Jordania. No obstante, la cocina gazati ha creado su propia identidad, influenciada por su vecino Egipto, su ubicacion privilegiada en la costa mediterranea y por los platos tradicionales de la Palestina historica. Estos ultimos llegaron con los refugiados que, durante la guerra arabe-israeli de 1948, se instalaron en esta pequeña franja costera y aportaron un rico conocimiento culinario del uso de los elementos basicos de la cocina palestina, como son el aceite de oliva, las aceitunas, las legumbres, el yogur, las verduras de temporada y la carne. Gaza fue, ademas, un enclave importante en la ruta de las especias, un enlace entre el sur de Arabia y el Mediterraneo, y este hecho ha dejado su huella en los cultivos de especias y en el sabor y aroma de sus comidas de hoy dia."
9,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Laila El-Haddad,"Un clásico de la literatura gastronómica, el libro de un icono que revolucionó la pedagogía culinaria.Julia Child revolucionó la forma de cocinar en los hogares de todo el  mundo. Tras estudiar en la reputada academia Le Cordon Bleu de París,  abrió su propia escuela de cocina con Simone Beck y Louisette Bertholle. Con ellas escribió el primero de sus libros,El arte de la cocina  francesa, que se convertiría de inmediato en un best seller y años después en un clásico. Su programa de televisiónThe French Chef  fue una revolución para los amantes de la cocina del mundo entero,  precursor del exitoso formato de los programas televisivos de cocina que conocemos hoy.'Todo el mundo puede cocinar al estilo francés en cualquier parte del  mundo con las instrucciones adecuadas' escriben las señoras Beck,  Bertholle, y Child. Y este es el libro que durante más de cincuenta años ha enseñado cómo hacerlo.El arte de la cocina francesa es un libro para cocineros avezados  y para principiantes que aman la buena comida y desean reproducir en  casa las delicias de la cocina clásica, desde recetas históricas y  auténticas obras maestras galas hasta los platos más sencillos, desde el  mítico Boeuf Bourguignon hasta el perfecto croissant. Un libro hermoso y  revolucionario en su tiempo, con 524 recetas, más de cien ilustraciones,  y enseñanzas de técnicas que conforman la base de la cocina francesa y que ofrecen recursos para la creación propia."
10,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Julia Child,"La continuación del clásico que revolucionó la pedagogía culinaria.Dominar cualquier arte requiere siempre un proceso, esto explica la necesidad de publicar el segundo volumen deEl arte de la cocina"
11,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Julia Child,"'Las recetas de Saúl Craviotto' son una selección de mis recetas favoritas, tradicionales, familiares, saludables y con las que se disfruta tanto cocinándolas como cuando te sientas a la mesa.  En este libro vas a encontrar recetas de estilo mas tradicional, las de siempre, las que podemos preparar con mas tiempo y mimo, como puede ser la fabada, el marmitako o una fideua. Tambien hay una seleccion de postres para los mas golosos, los que hacen que una comida sea perfecta del todo, ese momento que todo el mundo espera con la cucharilla en la mano una vez han acabado de comer.  Y como deportista que soy, tambien puedes encontrar una seleccion de las recetas de mi dia a dia, tanto para comer o cenar como para desayunar, y recetas perfectas para estar a tope antes de hacer ejercicio y recuperar despues de haber entrenado.  En definitiva, es un resumen de mi vida llevada a un libro de cocina, con su lado mas deportivo y su lado mas familiar, dos pilares imprescindibles en mi existencia."
12,"[[' '], ['\n            Ficha técnica de COCINA ¡A TODO VAPOR!\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de COCINA ¡A TODO VAPOR!\n      '], [' '], ['Nº de páginas:'], [' '], ['150'], ['Editorial:'], [' '], ['OCEANO AMBAR'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tela'], ['ISBN:'], [' '], ['9788475566641'], ['Año de edición:'], [' '], ['2001'], ['Plaza de edición:'], [' '], ['Barcelona, España'], [' '], ['Fecha de lanzamiento:'], [' '], ['16/03/2010']]",Simone Beck,"Hoy en día hay cierta tendencia a buscar fórmulas mágicas para el éxito y, a ser posible, de efecto inmediato. En realidad, no existen atajos ni fórmulas milagrosas. Sólo hay un camino: el esfuerzo,  la determinacion y ciertas dosis de sacrificio. En este libro, el campeon olimpico Saul Craviotto nos descubre cuales son los pilares en los que se ha apoyado para lograr sus metas en el deporte y en la vida. Lo que denomina el triangulo del exito: la mente, el cuerpo y las relaciones sociales.A diferencia de otros deportistas que se centran unicamente en la preparacion fisica, el piragu?ista español da una enorme importancia a la preparacion mental y al entorno social. El equilibrio entre estos tres elementos le permite dar lo mejor de si mismo en las citas clave. Para gestionar el apartado mental recomienda fraccionar objetivos, gestionar la presion, disfrutar del camino, no obsesionarse y creer en uno mismo. Para el pilar fisico es basica la planificacion y saber sufrir cuando es necesario. Y en cuanto al pilar social, hay que rodearse de personas con mentalidad positiva y constructiva con las que establecer vinculos afectivos de verdad.Repleto de consejos, experiencias vitales y anecdotas deportivas, este libro incluye ademas su plan de entrenamiento semanal, asi como algunas de las recetas con las que cuida su dieta y que estan especialmente indicadas para cualquier persona que practique deporte asiduamente."
